Fragrance,Name:Brand:Launched
Bergamot,"No. 19:Chanel:1971-*-Cristalle Eau de Toilette:Chanel:1974-*-Coco Mademoiselle:Chanel:2001-*-Cristalle Eau de Parfum:Chanel:1993-*-Allure Homme:Chanel:1999-*-Allure Sensuelle:Chanel:2005-*-No. 46:Chanel:Unknown-*-Coco Noir:Chanel:2012-*-1932:Chanel:2013-*-Dior Addict Eau Fraîche:Christian Dior:2004-*-Midnight Poison:Christian Dior:2007-*-Miss Dior Eau Fraîche:Christian Dior:2012-*-Eau Sauvage Parfum:Christian Dior:2012-*-Grand Bal:Christian Dior:2012-*-Iris Poudre:Editions de Parfums Frederic Malle:2000-*-Musc Ravageur:Editions de Parfums Frederic Malle:2000-*-Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000-*-Dans Tes Bras:Editions de Parfums Frederic Malle:2008-*-Eau de Givenchy:Givenchy:1980-*-Givenchy pour Homme Blue Label:Givenchy:2004-*-Eau Torride:Givenchy:2002-*-Pi Neo:Givenchy:2008-*-Play for Her:Givenchy:2010-*-Le Bouquet Absolu:Givenchy:2011-*-Givenchy Play Sport:Givenchy:2012-*-Mitsouko:Guerlain:1919-*-Shalimar:Guerlain:1925-*-Philtre d'Amour:Guerlain:2000-*-Aqua Allegoria Gentiana:Guerlain:2001-*-Aqua Allegoria Pamplelune:Guerlain:1999-*-Coriolan:Guerlain:1998-*-Derby:Guerlain:1985-*-Eau de Guerlain:Guerlain:1974-*-Eau de Cologne Impériale:Guerlain:1853-*-Habit Rouge:Guerlain:1965-*-Héritage:Guerlain:1992-*-Jicky:Guerlain:1889-*-Vetiver:Guerlain:1961-*-Vetiver Eau Glacée:Guerlain:2004-*-Vetiver Extreme:Guerlain:2006-*-Les Secrets de Sophie:Guerlain:2009-*-Arsène Lupin Dandy:Guerlain:2010-*-Shalimar Parfum Initial:Guerlain:2011-*-Une Ville, un Parfum : Moscow:Guerlain:2009-*-Une Ville, un Parfum : New York:Guerlain:2009-*-Une Ville, un Parfum : London:Guerlain:2011-*-Cherry Blossom Delight:Guerlain:2008-*-L'Instant Magic Elixir:Guerlain:2009-*-Les Elixirs Charnels - Boisé Torride:Guerlain:2009-*-Shalimar Ode à la Vanille:Guerlain:2010-*-Aqua Allegoria Jasminora:Guerlain:2011-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-La Petite Robe Noire 2012:Guerlain:2012-*-Eau de Shalimar:Guerlain:2008-*-Le Bolshoï Saison 2012 La Traviata:Guerlain:2012-*-Amazone (original):Hermès:1974-*-Équipage:Hermès:1970-*-Enjoy:Jean Patou:2003-*-Patou pour Homme:Jean Patou:1980-*-Sira des Indes:Jean Patou:2006-*-Clair de Musc:Serge Lutens Les Salons du Palais Royal Shiseido:2003-*-Opium:Yves Saint Laurent:1977-*-Nu Eau de Parfum:Yves Saint Laurent:2001-*-Nu Eau de Toilette:Yves Saint Laurent:2002-*-Jazz:Yves Saint Laurent:1988-*-Jazz Prestige:Yves Saint Laurent:1993-*-Kouros Fraîcheur:Yves Saint Laurent:1993-*-M7:Yves Saint Laurent:2002-*-Kouros Cologne Sport:Yves Saint Laurent:2003-*-Rive Gauche pour Homme:Yves Saint Laurent:2003-*-Opium pour Homme Poésie de Chine Eau d'Orient:Yves Saint Laurent:2008-*-La Nuit de L'Homme Le Parfum:Yves Saint Laurent:2010-*-La Nuit de L'Homme Frozen Cologne:Yves Saint Laurent:2012-*-Manifesto:Yves Saint Laurent:2012"
Orris,
Seville Orange,Habit Rouge LEau:Guerlain:2011
Basil,Higher:Christian Dior:2001-*-Higher Black:Christian Dior:2002-*-Very Irrésistible Givenchy Electric Rose:Givenchy:2012-*-Eau de Guerlain:Guerlain:1974-*-Habit Rouge:Guerlain:1965
Wild rose,Paris Premières Roses 2012:Yves Saint Laurent:2012
Ambergris,
Silk Tree Flower,"Dior Addict Dior Twist"""":Christian Dior:2004"
Apricot Rose,
Jasmine petals,
Sicilian mandarin,Hypnotic Poison Eau Secrète:Christian Dior:2013
